[0509/111545.210:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x5ca404cfb600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111545.239:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x5ca404cfb600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111545.255:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x5ca404cfb600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111545.287:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x5ca404cfb600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/111701.156:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xf2404656a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111701.187:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xf2404656a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111701.212:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xf2404656a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111701.239:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0xf2404656a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/111852.996:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6bcc0504d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111853.022:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6bcc0504d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111853.041:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6bcc0504d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111853.064:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x6bcc0504d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/111920.014:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x70a40557aa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111920.042:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x70a40557aa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111920.065:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x70a40557aa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111920.088:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x70a40557aa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/111938.548:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x477c03849400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111938.578:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x477c03849400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111938.583:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x477c03849400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/111938.603:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x477c03849400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/112050.276:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x45bc0454bc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112050.308:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x45bc0454bc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112050.313:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x45bc0454bc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112050.337:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x45bc0454bc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/112220.956:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x23740304b000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112220.983:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x23740304b000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112221.001:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x23740304b000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112221.024:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x23740304b000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/112257.810:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x33fc0537b600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112257.823:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x33fc0537b600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112257.850:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x33fc0537b600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112257.878:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x33fc0537b600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/112455.523:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x432c04d4e400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112455.562:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x432c04d4e400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112455.566:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x432c04d4e400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112455.572:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x432c04d4e400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0509/112514.969:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x543402e6f000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0509/112515.010:ERROR:gpu\command_buffer\service\gl_utils.cc:431] [.WebGL-0x543402e6f000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
