master_pc_id,name,element,master_ex_statusboard_id,master_enhanced_statusboard_id,ex_abilities_count,bless_override_present
100001,Rimuru Tempest (Tutorial),Air,0,0,0,False
100002,Benimaru (Tutorial),Fire,0,0,0,False
100003,Shion,Dark,0,0,0,False
130001,Rigurd,Wind,0,0,2,False
130002,Alice Rondo,Air,0,0,2,False
130003,Kenya Misaki,Holy,0,0,2,False
130004,Ryota Sekiguchi,Water,0,0,2,False
130005,Kurobe,Fire,0,0,2,False
130006,Gale Gibson,Earth,0,0,2,False
140001,Gobta,Wind,0,0,2,False
140002,Rimuru Tempest,Water,0,0,2,False
140003,Gabiru,Water,0,0,2,False
140004,Yuuki Kagurazaka,Water,0,0,2,False
140005,Trya,Earth,0,0,2,False
140006,Kurobe,Earth,0,0,2,False
140007,Gelmud,Dark,0,0,2,False
140008,Chloe Aubert,Holy,0,0,2,False
140009,Benimaru,Fire,0,0,2,False
140010,Souei,Wind,0,0,2,False
140011,Geld,Earth,0,0,2,False
140012,Ranga,Wind,0,0,2,False
140013,Phobio,Fire,0,0,2,False
140014,Shion,Air,0,0,2,False
140015,Hakurou,Air,0,0,2,False
150001,Benimaru,Fire,0,0,2,False
150002,Shion,Dark,0,0,2,False
150004,Souei,Water,0,0,2,False
150005,Gazel Dwargo,Holy,0,0,2,False
150006,Ranga,Air,0,0,2,False
150007,Shizue Izawa,Fire,0,0,2,False
150008,Shuna,Holy,0,0,2,False
150009,Treyni,Earth,0,0,2,False
150010,Milim Nava,Wind,0,0,2,False
150012,Beretta,Dark,0,0,2,False
150015,Rimuru Tempest,Air,0,0,2,False
140016,Shuna,Fire,0,0,2,False
150013,Shuna,Wind,0,0,2,False
140019,Benimaru,Holy,0,0,2,False
140017,Souei,Dark,0,0,2,False
140018,Rimuru Tempest,Dark,0,0,2,False
150014,Milim Nava,Earth,0,0,2,False
150011,Hakurou,Wind,0,0,2,False
150003,Rimuru Tempest,Water,0,0,2,False
140022,Milim Nava,Holy,0,0,2,False
140021,Shion,Wind,0,0,2,False
140020,Shuna,Air,0,0,2,False
150017,Diablo,Dark,0,0,2,False
140023,Benimaru,Dark,0,0,2,False
150024,Veldora Tempest,Dark,0,0,2,False
150028,Rimuru Tempest,Dark,0,0,2,False
150027,Milim Nava,Dark,0,0,2,False
150033,Milim Nava,Air,0,0,2,False
150030,Luminus Valentine,Wind,0,0,2,False
140027,Shion,Wind,0,0,2,False
150031,Rimuru Tempest,Wind,0,0,2,False
150034,Veldora Tempest,Wind,0,0,2,False
150029,Milim Nava,Fire,0,0,2,False
140026,Shuna,Fire,0,0,2,False
150253,Ramiris,Wind,0,0,2,False
150254,Gobta,Fire,0,0,2,False
150255,Guy Crimson,Fire,0,0,2,False
180001,Rimuru Tempest,Air,0,0,0,False
180002,Rigurd (Pre-Evolution),Air,0,0,0,False
180003,Soka,Air,0,0,0,False
180004,Myulan,Air,0,0,0,False
150037,Shizue Izawa,Holy,0,0,2,False
140257,Myulan,Holy,0,0,2,False
150016,Hinata Sakaguchi,Holy,0,0,2,False
150018,Leon Cromwell,Holy,0,0,2,False
150263,Alice Rondo,Water,0,0,2,False
140265,Ranga,Water,0,0,2,False
150036,Rimuru Tempest,Water,0,0,2,False
150267,Velzard,Water,0,0,2,False
150266,Guy Crimson,Fire,0,0,2,False
150268,Benimaru,Earth,0,0,2,False
140024,Albis,Earth,0,0,2,False
150269,Souei,Earth,0,0,2,False
