master_pc_id,name,element,ex_abilities_count,has_ex,has_attribute_unbound
100001,Rimuru Tempest (Tutorial),Air,0,False,False
100002,Benimaru (Tutorial),Fire,0,False,False
100003,Shion,Dark,0,False,True
130001,Rigurd,Wind,2,True,False
130002,Alice Rondo,Air,2,True,False
130003,Kenya Misaki,Holy,2,True,False
130004,Ryota Sekiguchi,Water,2,True,False
130005,Kurobe,Fire,2,True,False
130006,Gale Gibson,Earth,2,True,False
140001,Gobta,Wind,2,True,True
140002,Rimuru Tempest,Water,2,True,True
140003,Gabiru,Water,2,True,False
140004,Yuuki Kagurazaka,Water,2,True,True
140005,Trya,Earth,2,True,False
140006,Kurobe,Earth,2,True,False
140007,Gelmud,Dark,2,True,False
140008,Chloe Aubert,Holy,2,True,False
140009,Benimaru,Fire,2,True,True
140010,Souei,Wind,2,True,False
140011,Geld,Earth,2,True,False
140012,Ranga,Wind,2,True,False
140013,Phobio,Fire,2,True,False
140014,Shion,Air,2,True,True
140015,Hakurou,Air,2,True,False
150001,Benimaru,Fire,2,True,True
150002,Shion,Dark,2,True,True
150004,Souei,Water,2,True,False
150005,Gazel Dwargo,Holy,2,True,False
150006,Ranga,Air,2,True,False
150007,Shizue Izawa,Fire,2,True,False
150008,Shuna,Holy,2,True,True
150009,Treyni,Earth,2,True,False
150010,Milim Nava,Wind,2,True,True
150012,Beretta,Dark,2,True,False
150015,Rimuru Tempest,Air,2,True,True
140016,Shuna,Fire,2,True,True
150013,Shuna,Wind,2,True,True
140019,Benimaru,Holy,2,True,True
140017,Souei,Dark,2,True,False
140018,Rimuru Tempest,Dark,2,True,True
150014,Milim Nava,Earth,2,True,True
150011,Hakurou,Wind,2,True,False
150003,Rimuru Tempest,Water,2,True,True
140022,Milim Nava,Holy,2,True,True
140021,Shion,Wind,2,True,True
140020,Shuna,Air,2,True,True
150017,Diablo,Dark,2,True,True
140023,Benimaru,Dark,2,True,True
150024,Veldora Tempest,Dark,2,True,False
150028,Rimuru Tempest,Dark,2,True,True
150027,Milim Nava,Dark,2,True,True
150033,Milim Nava,Air,2,True,True
150030,Luminus Valentine,Wind,2,True,True
140027,Shion,Wind,2,True,True
150031,Rimuru Tempest,Wind,2,True,True
150034,Veldora Tempest,Wind,2,True,False
150029,Milim Nava,Fire,2,True,True
140026,Shuna,Fire,2,True,True
150253,Ramiris,Wind,2,True,False
150254,Gobta,Fire,2,True,True
150255,Guy Crimson,Fire,2,True,False
180001,Rimuru Tempest,Air,0,False,True
180002,Rigurd (Pre-Evolution),Air,0,False,False
180003,Soka,Air,0,False,True
180004,Myulan,Air,0,False,False
150037,Shizue Izawa,Holy,2,True,False
140257,Myulan,Holy,2,True,False
150016,Hinata Sakaguchi,Holy,2,True,True
150018,Leon Cromwell,Holy,2,True,True
150263,Alice Rondo,Water,2,True,False
140265,Ranga,Water,2,True,False
150036,Rimuru Tempest,Water,2,True,True
150267,Velzard,Water,2,True,True
150266,Guy Crimson,Fire,2,True,False
150268,Benimaru,Earth,2,True,True
140024,Albis,Earth,2,True,False
150269,Souei,Earth,2,True,False
150039,Luminus Valentine,Earth,2,True,True
150035,Leon Cromwell,Holy,2,True,True
150290,Milim Nava,Air,2,True,True
150207,Masked Hero,Air,2,True,True
150022,Frey,Air,2,True,True
150023,Carrion,Air,2,True,False
140296,Suphia,Dark,2,True,False
140297,Grucius,Air,2,True,False
150292,Diablo,Dark,2,True,True
150299,Shion,Holy,2,True,True
140300,Shinsha,Holy,2,True,False
150301,Rimuru Tempest,Holy,2,True,True
150289,Daggrull,Holy,2,True,False
150308,Luminus Valentine,Dark,2,True,True
150220,Treyni,Wind,2,True,False
140307,Geld,Wind,2,True,False
150032,Diablo,Wind,2,True,True
150038,Deeno,Wind,2,True,False
150021,Shion,Water,2,True,True
140100,Rimuru Tempest,Water,2,True,True
150019,Shuna,Water,2,True,True
150315,Hinata Sakaguchi,Water,2,True,True
150316,Daggrull,Earth,2,True,False
150317,Velzard,Air,2,True,True
140319,Misery,Air,2,True,False
150320,Rain,Air,2,True,False
150322,Leon Cromwell,Air,2,True,True
150330,Myulan,Earth,2,True,False
140331,Eren,Earth,2,True,False
150332,Adalman,Earth,2,True,False
150089,Clayman,Earth,2,True,False
150334,Rimuru Tempest,Dark,2,True,True
150336,Milim Nava,Dark,2,True,True
140080,Izis,Dark,2,True,True
150337,Shinsha,Dark,2,True,False
150338,Diablo,Dark,2,True,True
150345,Deeno,Water,2,True,False
150346,Benimaru,Fire,2,True,True
140348,Hiiro,Fire,2,True,True
140349,Rimuru Tempest,Fire,2,True,True
150350,Violet,Fire,2,True,True
150351,Shizue Izawa,Fire,2,True,False
